code||title||nickname||content||stars||symp||notSymp||reviewDate
10062||프레데터 2||고구려의후예(here****)||진짜 영화를 만들려면 이렇게 만들어야지ㅋ!!!! 진심 요즘 SF영화 죄 다 스토리도 뻔하고 삼류 쓰레기 영화라 재미없다. 87년도 꺼면 나 태어나기 전 편인데 과거꺼라 역시 스토리도 감질나고 재밌다 ㅋㅋ 줄거리가 스릴넘치고 다양하다는게 확실히 좋아!ㅇ  ||10||16||3||12/12/22 16:25:00.000000
10062||프레데터 2||dbzh****||볼만하네~  ||7||6||1||13/02/07 13:52:00.000000
10062||프레데터 2||디제스트(dark****)||개인적으로 전편보다 볼만했다  ||7||2||0||17/06/03 21:07:00.000000
10062||프레데터 2||로미오(hkro****)||프레데터들 대거 등장하는 하이라이트 엔딩씬은 봐도봐도 멋지네ㅋㅋ  ||10||1||0||17/03/17 21:47:00.000000
10062||프레데터 2||nala****||전편에 비해 조금 떨어지지만 재미있게 보았다  ||8||1||0||07/01/12 19:49:00.000000
10062||프레데터 2||blue****||정말 재밌고 흥미로운 영화 SF영화 매니아라면 필수!  ||9||1||0||06/05/29 23:11:00.000000
10062||프레데터 2||wons****||당시 프레데터시리즈는 우리에게 있어 충격적인 이야깃거리 중 하나였다.  ||9||1||0||04/04/10 16:27:00.000000
10062||프레데터 2||포항대가공인중개사(cap1****)||프레데터1이 너무 쎘다.1편의 스텍타클을 따라가기에는 너무 역부족  ||6||2||1||13/12/26 23:03:00.000000
10062||프레데터 2||데뮤론(sean****)||후속작은 거의 실패인데 2탄에서도 놀라운 완성도와 재미를 선사했다.  ||9||0||0||17/09/20 14:05:00.000000
10062||프레데터 2||kem1****||아놀드의 부재가 아쉽다. 프레데터의 존재만으로도 흥미진진.  ||9||0||0||12/06/12 01:32:00.000000
10062||프레데터 2||cred****||역시 대니글로버.에어리언과 더불어 90년대 최고의 sf  ||9||0||0||12/03/22 02:49:00.000000
10062||프레데터 2||qkrw****||1을 정말 재밌게봤는데 좀 마지막에 아쉬움  ||8||0||0||12/02/08 13:04:00.000000
10062||프레데터 2||jack****||상당히 기대하면 봤지만 나의 기대에 부흥하지는 못했지만 그래도! 재미있었으니 ㅋ  ||8||0||0||11/07/24 10:33:00.000000
10062||프레데터 2||aw71****||전편보다 왜 과소평가 받았는지? 재평가가 필요한 수작.  ||10||0||0||10/09/28 06:28:00.000000
10062||프레데터 2||movi****||굳  ||10||0||0||10/02/05 13:07:00.000000
10062||프레데터 2||darg****||평점은 10점임. 대니 글로버의 연기가 눈부심.  ||10||0||0||08/10/21 00:16:00.000000
10062||프레데터 2||ysuh****||좋아  ||9||0||0||06/12/01 12:18:00.000000
10062||프레데터 2||esis****||어릴적 떡볶이 집에서 재미있게 봤던...  ||10||0||0||06/11/20 19:40:00.000000
10062||프레데터 2||jiju****||잼있었다...  ||10||0||0||06/08/16 01:36:00.000000
10062||프레데터 2||swle****||으음.. 도시면 공포를 더 줄수도 있었는데.  ||7||0||0||06/01/17 22:24:00.000000
10062||프레데터 2||ksh5****||그저그렇다.  ||7||0||0||05/06/21 10:54:00.000000
10062||프레데터 2||comb****||재미있네  ||10||0||0||05/03/11 09:10:00.000000
10062||프레데터 2||pdlp****||프레데터 멋있다  ||10||0||0||04/10/15 19:45:00.000000
10062||프레데터 2||yyw1****||지난 영화지만 지금도 잼잇게 볼수 있는영화  ||9||0||0||04/08/09 23:12:00.000000
10062||프레데터 2||jbh0****||극장에서 봤는데 정말 재밌게 봤어요.사람들 영화끝나고 박수 치고 햇어요.  ||10||0||0||04/03/12 15:05:00.000000
10062||프레데터 2||777s****||어렸을때는 정말 스릴있었는데 지금 보니까 별로...  ||5||1||1||08/02/14 21:05:00.000000
10062||프레데터 2||imab****||... 주인공의 오버연기에 나는 " 알았다 오버 " 라고 응답했다...  ||10||1||1||08/02/05 01:54:00.000000
10062||프레데터 2||ctrl****||1편 보다 재미없지만 프레데터의 다양한 무기가 나와 5점  ||5||1||1||06/03/27 21:22:00.000000
10062||프레데터 2||우짜쓰까(kgmi****)||1이 너무  완벽했다  6점 줄려다7 준다  ||7||0||1||15/02/02 21:41:00.000000
10062||프레데터 2||iss2****||안보이는 것, 미지의 것에 대한 공포, 나름 재밌었다  ||6||0||1||09/05/27 00:03:00.000000
10062||프레데터 2||pawr****||충분히 매력적인  ||6||0||1||06/02/11 10:09:00.000000
10062||프레데터 2||셔(horr****)||감독은 '알란 스미시'란 이름으로 나왔어야 했어. 최악의 영화.  ||1||2||3||13/02/06 03:58:00.000000
10062||프레데터 2||dh66****||1은너무왐벽햇지..  ||10||10||0||14/01/01 21:15:00.000000
10062||프레데터 2||푸른불(adiv****)||1편과는 다른 또 다른 재미를 준다.  오락영화로는 합격  ||8||9||1||15/05/03 01:12:00.000000
