code||title||nickname||content||stars||symp||notSymp||reviewDate
10014||금지된 장난||jbg(rdi8****)||지금까지 봤던 영화 중 가장 가슴 저미는 엔딩. 먹먹하다. 아이들의 눈으로 전쟁의 참혹함을 고발. OST 보너스.  ||10||0||0||17/10/03 01:29:00.000000
10014||금지된 장난||라이너군(tear****)||그건 사랑이었을까.!  ||6||0||0||15/05/03 11:43:00.000000
10014||금지된 장난||kiko(dkdl****)||예쁘고 슬픈.. 꼭 보시기 바래요.  ||10||0||0||12/12/11 00:25:00.000000
10014||금지된 장난||deka****||전쟁 속 아이들의 순수함과 이웃간의 불화. 어디든 사람 사는 곳은 다 비슷하구나.  ||8||0||0||11/04/01 01:22:00.000000
10014||금지된 장난||bbq2****||로망스의 원조를 마음껏 감상할수있는 기회  ||5||0||0||10/12/23 00:28:00.000000
10014||금지된 장난||tjdw****||지금 비디오 가게로 달려가서 이것을 빌리고 아무도없는 방에서 보아라  ||10||0||0||10/09/28 10:14:00.000000
10014||금지된 장난||0515****||진짜좋은영화=U=조르주푸줄리라는 사람이영화에서 귀엽게 나오든데..  ||10||0||0||10/09/20 14:04:00.000000
10014||금지된 장난||dlwl****||OST 좋지만 너무 남발한다.. 집중도를 떨어뜨릴 정도.  ||5||0||0||10/07/24 01:05:00.000000
10014||금지된 장난||band****||잘 만든 영화...웰메이드란 말 쓰지 마라..  ||10||0||0||08/04/17 17:09:00.000000
10014||금지된 장난||isoo****||미쉘 미쉘... 잊을수없는 긴 여운..  ||10||0||0||08/02/26 14:42:00.000000
10014||금지된 장난||hjok****||철없는 아이들의 금지된 장난 아쉽고도 슬픈 이별.  ||10||0||0||06/12/12 07:53:00.000000
10014||금지된 장난||u3dk****||마지막장면 넘 슬프다.  ||10||0||0||06/01/15 01:42:00.000000
10014||금지된 장난||chki****||전쟁의 아픔이 느껴지는 영화  ||8||0||0||04/12/17 08:15:00.000000
10014||금지된 장난||나는프라다(prad****)||세상은 아름답지 않아. 흑백만큼 우울해. 시간이 정지되고 크지 않는 게 좋아. 단절된 피아노 음들이 눈물이 날 때까지 꾹꾹 눌러. 제발 싸우지 말란 말야...  ||10||7||0||13/03/09 08:53:00.000000
